														SI7820
192	MFCD00143991	C5 H9 N O3	131.05829	132.06556	7.511	[M+H]+1	Full match	No results			Full match	21	No results	9.09E+06
193	MFCD00060079	C9 H14 O7	234.07419	233.06695	7.499	[M-H]-1	Full match	No results			Full match	4	No results	7.88E+06
194	Metoprolol	C15 H25 N O3	267.18361	268.19089	6.365	[M+H]+1	Full match	No results			Full match	1	No results	5.73E+06
195	Methyprylon	C10 H17 N O2	183.12599	184.1333	11.572	[M+H]+1	Full match	Full match	63.6	66.1	Partial match	2	No results	3.18E+07
196	Methyprylon	C10 H17 N O2	151.09985	184.13337	11.6	[M+H+MeOH]+1	No match	Invalid mass	54.2	63.3	No match	18	No results	3.18E+07
197	Methylphenobarbital	C13 H14 N2 O3	246.10061	305.1145	7.454	[M-H+HAc]-1	Full match	No results			Full match	7	No results	2.77E+06
198	Methyl-3-aminobenzoate	C8 H9 N O2	169.07405	170.0812	7.497	[M+H]+1	No match	Invalid mass	62.9	8.1	No match	6	No results	2.03E+07
199	Methyl-3-aminobenzoate	C8 H9 N O2	151.06339	152.07065	9.183	[M+H]+1	Full match	Full match	69	8.5	Partial match	23	No results	4.55E+07
200	Methyl-3-aminobenzoate	C8 H9 N O2	151.06338	184.09688	7.95	[M+H+MeOH]+1	Full match	Full match	62.9	8.1	Partial match	23	No results	2.04E+07
201	Methyl vinyl ketone	C4 H6 O	70.04193	71.04921	9.914	[M+H]+1	Full match	No results			Full match	7	No results	3.15E+06
202	Methyl stearate	C19 H38 O2	298.28712	297.27985	3.408	[M-H]-1	Full match	No results			Full match	9	No results	1.17E+07
203	Methyl palmitate	C17 H34 O2	287.28247	288.28975	6.559	[M+H]+1	No match	Invalid mass	95.4	75	No results	0	No results	2.69E+06
204	Methyl palmitate	C17 H34 O2	287.28235	288.28963	4.691	[M+H]+1	No match	Invalid mass	97.9	81.7	No results	0	No results	1.22E+06
205	Methyl laurate	C13 H26 O2	214.1935	213.18623	3.482	[M-H]-1	Full match	No results			Full match	14	No results	3.53E+07
206	Methyl 3-indolylacetate	C11 H11 N O2	189.079	190.08629	7.679	[M+H]+1	Full match	No results			Full match	6	No results	1.31E+06
207	methyl 3-amino-4-(isopropylsulfonyl)-5-tetrahydro-1H-pyrrol-1-ylthiophene-2-carboxylate	C13 H20 N2 O4 S2	354.06219	355.06947	3.732	[M+H]+1	No match	Invalid mass	61.1	65.3	No results	0	No results	7.13E+05
208	Methyl (9E)-9-octadecenoate	C19 H36 O2	296.27141	295.26411	3.419	[M-H]-1	Full match	No results			Full match	7	No results	1.47E+07
209	Methyl (2E,6Z)-2,6-dodecadienoate	C13 H22 O2	210.16214	209.15496	3.432	[M-H]-1	Full match	No results			Full match	12	No results	1.99E+06
210	Meloxicam	C14 H13 N3 O4 S2	351.03461	352.04186	3.431	[M+H]+1	Full match	Full match	96.1	76.9	Full match	2	No results	3.73E+05
211	melanostatin	C13 H24 N4 O3	284.18501	285.19228	7.992	[M+H]+1	Full match	No results			Full match	1	No results	4.44E+05
212	Melamine	C3 H6 N6	126.06542	127.0727	0.629	[M+H]+1	Full match	Full match	62	8.1	Full match	1	No results	9.85E+06
213	medorinone	C9 H8 N2 O	160.06376	161.07098	7.472	[M+H]+1	Full match	No results			Full match	1	No results	1.57E+07
214	mebutamate	C10 H20 N2 O4	232.14224	233.14952	5.941	[M+H]+1	Full match	No results			Full match	6	No results	3.07E+05
215	mebutamate	C10 H20 N2 O4	232.14208	233.14935	6.51	[M+H]+1	Full match	No results			Full match	6	No results	1.54E+05
216	mavorixafor	C21 H27 N5	349.22488	350.23206	3.551	[M+H]+1	Invalid mass	No results			Invalid mass	2	No results	3.88E+06
217	Margaric acid	C17 H34 O2	270.25567	269.2484	3.434	[M-H]-1	Full match	No results			Full match	9	No results	1.53E+08
218	Margaric acid	C17 H34 O2	270.25576	269.24841	4.476	[M-H]-1	Full match	No results			Full match	9	No results	1.36E+07
219	Malonic acid	C3 H4 O4	104.0112	103.00392	12.803	[M-H]-1	Full match	No results			Full match	3	No results	1.10E+07
220	Malonic acid	C3 H4 O4	104.01128	163.02514	10.935	[M-H+HAc]-1	Full match	No results			Full match	3	No results	2.06E+05
221	Maleamic acid	C4 H5 N O3	115.0272	174.041	7.445	[M-H+HAc]-1	Full match	No results			Full match	1	No results	2.52E+06
222	MA4000000	C5 H7 N O2	113.04796	158.04616	7.336	[M+FA-H]-1	Full match	No results			Full match	10	No results	3.21E+06
223	MA4000000	C5 H7 N O2	113.04793	158.04614	6.752	[M+FA-H]-1	Full match	No results			Full match	10	No results	3.03E+05
224	LQ5400000	C8 H8 O2	136.0525	137.05977	4.488	[M+H]+1	Full match	No results			Full match	26	No results	4.26E+07
225	Linolenic acid ethyl ester	C20 H34 O2	312.26627	313.27351	3.848	[M+H]+1	No match	Invalid mass	76.2	8.8	No results	0	No results	1.67E+06
226	Lignoceric Acid	C24 H48 O2	368.36569	367.35841	3.366	[M-H]-1	Full match	Full match	90.1	9.5	Full match	4	No results	3.81E+07
227	lidamidine	C11 H16 N4 O	220.13133	219.12404	4.744	[M-H]-1	Full match	No results			Full match	1	No results	2.99E+06
228	leucoline	C9 H7 N	129.05789	130.06516	7.689	[M+H]+1	Full match	No results			Full match	3	No results	3.12E+05
229	Lauramide	C12 H25 N O	199.19363	232.22715	7.485	[M+H+MeOH]+1	Full match	No results			Full match	1	No results	2.24E+05
230	Latanoprost	C26 H40 O5	432.28741	433.29468	3.495	[M+H]+1	No results	No results			Full match	2	No results	2.68E+06
231	lactide	C6 H8 O4	144.04255	125.02469	14.04	[M-H-H2O]-1	Full match	No results			Full match	20	No results	1.27E+07
232	lactide	C6 H8 O4	144.04255	143.03527	10.595	[M-H]-1	Full match	No results			Full match	20	No results	3.03E+07
233	Lacinilene C 7-methyl ether	C16 H20 O3	260.14099	261.14827	3.497	[M+H]+1	No results	No results			Full match	10	No results	3.27E+05
234	L-α-PALMITIN	C19 H38 O4	330.27683	331.2841	3.88	[M+H]+1	Full match	No results			Full match	5	No results	9.92E+05
235	L-α-PALMITIN	C19 H38 O4	330.27718	329.26991	4.572	[M-H]-1	Full match	No results			Full match	5	No results	1.55E+06
236	L-Pyroglutamic acid	C5 H7 N O3	129.04277	128.03561	8.481	[M-H]-1	Full match	No results			Full match	12	No results	2.29E+07
237	L-Hexanoylcarnitine	C13 H25 N O4	259.17848	260.18576	11.839	[M+H]+1	Full match	No results			Full match	2	No results	2.25E+07
238	L-gamma-Glutamyl-S-[(1E)-N-hydroxy-2-(1H-indol-3-yl)ethanimidoyl]-L-cysteinylglycine	C20 H25 N5 O7 S	479.1497	480.15705	3.781	[M+H]+1	No results	No results			Full match	1	No results	6.20E+05
239	L-dihydroanticapsin	C9 H15 N O4	201.10019	202.10746	10.729	[M+H]+1	Full match	No results			Full match	1	No results	3.38E+07
240	L-dihydroanticapsin	C9 H15 N O4	201.10017	202.10745	5.93	[M+H]+1	Full match	No results			Full match	1	No results	4.82E+07
241	L-(+)-Tartaric acid	C4 H6 O6	150.01713	149.00986	3.68	[M-H]-1	Not the top hit	Full match	66	45.3	Full match	4	No results	3.76E+05
242	KETOPANTOLACTONE	C6 H8 O3	128.04758	127.04039	4.735	[M-H]-1	Full match	No results			Full match	17	No results	2.45E+07
243	JO1843850	C12 H22 S2	230.11559	229.10819	3.842	[M-H]-1	Full match	No results			Full match	1	No results	1.37E+07
244	JJ9800000	C12 H10 N2 O	198.07934	199.08662	7.431	[M+H]+1	Full match	No results			Full match	8	No results	5.15E+06
245	JJ9800000	C12 H10 N2 O	198.07935	199.08662	6.526	[M+H]+1	No results	No results			Full match	8	No results	6.14E+06
246	Jasmonic acid	C12 H18 O3	210.12569	209.11864	3.707	[M-H]-1	Full match	No results			Full match	11	No results	3.83E+06
247	Indole-3-butyric acid	C12 H13 N O2	203.09072	204.09798	12.973	[M+H]+1	No match	Invalid mass	74.9	8.7	No match	7	No results	5.15E+05
248	Indole-3-acetaldehyde	C10 H9 N O	159.0687	158.06142	7.676	[M-H]-1	Full match	No results			Full match	8	No results	1.99E+05
249	Indole	C8 H7 N	117.05819	116.05089	7.471	[M-H]-1	Full match	No results			Full match	3	No results	4.54E+05
250	Hypoxanthine	C5 H4 N4 O	136.03855	137.04583	10.112	[M+H]+1	Full match	Full match	76.5	48	Partial match	8	Full match	7.21E+06
251	Hydroxyhexanoycarnitine	C13 H25 N O5	275.17315	274.16585	4.691	[M-H]-1	Full match	No results			Full match	1	No results	7.73E+06
252	Hydroxyhexanoycarnitine	C13 H25 N O5	275.17326	274.16598	7.453	[M-H]-1	Full match	No results			Full match	1	No results	4.10E+06
253	Hydroxyhexanoycarnitine	C13 H25 N O5	275.17327	274.16588	3.933	[M-H]-1	Full match	No results			Full match	1	No results	9.25E+06
254	Hydroxyhexanoycarnitine	C13 H25 N O5	275.17318	274.1659	4.483	[M-H]-1	Full match	No results			Full match	1	No results	4.47E+06
255	Hydroquinone	C6 H6 O2	110.03705	109.02977	7.453	[M-H]-1	Full match	No results			Full match	7	No results	4.47E+06
256	Hydroquinone	C6 H6 O2	110.03699	169.05082	4.621	[M-H+HAc]-1	Full match	No results			Full match	7	No results	8.23E+06
257	Hydantoin	C3 H4 N2 O2	100.0273	101.03457	8.504	[M+H]+1	Full match	No results			Full match	1	No results	3.16E+06
258	homovanillate	C9 H10 O4	182.05802	183.06529	5.649	[M+H]+1	Full match	No results			Partial match	39	Full match	1.55E+07
259	Hippurate	C9 H9 N O3	179.05824	180.06551	5.975	[M+H]+1	Full match	No results			Partial match	11	Full match	2.68E+05
260	Hexyl 2-furoate	C11 H16 O3	196.10997	241.10819	4.74	[M+FA-H]-1	Full match	No results			Full match	4	No results	1.30E+07
261	Heteroxanthine	C6 H6 N4 O2	166.04836	165.04109	3.679	[M-H]-1	Full match	No results			Full match	14	No results	2.69E+06
262	Heteroxanthine	C6 H6 N4 O2	166.04839	165.04112	4.31	[M-H]-1	Full match	No results			Full match	14	No results	1.02E+07
263	Heptenal	C7 H12 O	112.0891	111.08182	4.488	[M-H]-1	Full match	No results			Full match	14	No results	1.73E+07
264	heptaminol	C8 H19 N O	145.14672	146.15399	7.473	[M+H]+1	Full match	No results			Full match	1	No results	5.54E+05
265	heptaminol	C8 H19 N O	145.14668	146.15395	5.993	[M+H]+1	Full match	No results			Full match	1	No results	3.76E+05
266	Guaifenesin	C10 H14 O4	198.08946	197.0822	4.556	[M-H]-1	Full match	No results			Full match	14	No results	2.37E+07
267	guaietolin	C11 H16 O4	212.10499	211.0979	3.85	[M-H]-1	No results	Invalid mass			Full match	3	No results	3.67E+07
268	Glycochenodeoxycholic acid	C26 H43 N O5	449.31433	450.32108	3.463	[M+H]+1	No results	No results			Full match	6	No results	2.86E+06
269	Glycerophosphoglycerol	C6 H15 O8 P	246.05042	245.04306	10.544	[M-H]-1	Full match	No results			Full match	1	No results	1.30E+05
270	Glycerophosphoglycerol	C6 H15 O8 P	246.05035	245.04307	10.936	[M-H]-1	Full match	No results			Full match	1	No results	6.14E+05
271	Glutaric acid	C5 H8 O4	132.04257	131.03529	14.423	[M-H]-1	Full match	No results			Full match	20	No results	5.48E+06
272	glucoraphanin	C12 H23 N O10 S3	437.04845	436.0412	12.478	[M-H]-1	Full match	No results			Full match	2	No results	1.72E+05
273	Gluconic acid	C6 H12 O7	196.05848	195.0512	12.284	[M-H]-1	Full match	No results			Partial match	10	Full match	2.28E+07
274	Gluconic acid	C6 H12 O7	196.05852	195.05124	12.432	[M-H]-1	Full match	No results			Partial match	10	Full match	2.26E+07
275	Glucogallin	C13 H16 O10	332.07442	331.06714	10.363	[M-H]-1	Full match	No results			Full match	7	No results	1.99E+06
276	Galacturonate	C6 H10 O7	194.04286	193.03558	13.386	[M-H]-1	Full match	No results			Partial match	24	Full match	2.30E+06
277	Galactose	C6 H12 O6	180.06367	179.05639	14.172	[M-H]-1	Full match	No results			Partial match	104	Full match	2.69E+05
278	Galactal	C6 H10 O4	146.05858	293.12444	9.655	[2M+H]+1	Full match	No results			Full match	23	No results	1.35E+07
279	gaboxadol	C6 H8 N2 O2	140.05858	141.06587	7.475	[M+H]+1	Full match	No results			Full match	8	No results	9.18E+06
280	Gabaculine	C7 H9 N O2	139.06343	138.05635	5.936	[M-H]-1	Full match	No results			Full match	5	No results	3.92E+06
281	Furaspor	C6 H7 N O4	157.03764	216.05136	7.472	[M-H+HAc]-1	Full match	No results			Full match	6	No results	1.03E+06
282	Fucosamine	C6 H13 N O4	163.08446	164.09174	8.831	[M+H]+1	Full match	No results			Full match	11	No results	5.06E+06
283	frescolat ML	C13 H24 O3	228.17278	229.17978	6.741	[M+H]+1	No results	No results			Full match	4	No results	2.04E+05
284	Fraxetin	C10 H8 O5	208.03728	209.04457	13.43	[M+H]+1	Full match	No results			Full match	3	No results	2.61E+05
285	Eugenol	C10 H12 O2	164.084	209.08219	4.03	[M+FA-H]-1	Full match	No results			Full match	56	No results	6.24E+06
286	etifenin	C16 H22 N2 O5	322.15305	321.1459	4.58	[M-H]-1	Full match	No results			Full match	2	No results	5.65E+06
287	Ethylparaben	C9 H10 O3	166.06299	167.07026	4.358	[M+H]+1	Full match	No results			Full match	46	No results	2.20E+07
288	ethylenediaminetriacetic acid	C8 H14 N2 O6	234.08516	235.09244	11.253	[M+H]+1	Full match	No results			Full match	6	No results	1.50E+07
289	ethylenediaminetriacetic acid	C8 H14 N2 O6	234.08515	233.07795	11.492	[M-H]-1	Full match	No results			Full match	6	No results	1.46E+05
290	Ethyl myristate	C16 H32 O2	256.24022	255.23295	7.354	[M-H]-1	Full match	Full match	97	9.9	Not the top hit	11	No results	5.89E+08
291	Ethyl acetate	C4 H8 O2	88.05244	89.05971	6.447	[M+H]+1	Full match	No results			Full match	13	No results	7.22E+06
292	ethyl 2-{4-[(2-cyanoethyl)(methyl)amino]benzylidene}hydrazine-1-carboxylate	C14 H18 N4 O2	228.13619	227.12914	4.711	[M-H]-1	No match	Invalid mass	55.1	59.5	No match	2	No results	4.59E+06
293	Ethanal tetramer	C8 H16 O4	176.10522	175.09791	7.455	[M-H]-1	Full match	No results			Full match	3	No results	3.82E+06
294	Erythorbic acid	C6 H8 O6	176.03232	175.02502	14.715	[M-H]-1	Full match	No results			Full match	27	No results	4.10E+06
295	Eglumetad	C8 H11 N O4	185.06907	184.06179	6.318	[M-H]-1	Full match	No results			Full match	2	No results	1.19E+07
296	Edoxudine	C11 H16 N2 O5	256.10586	257.11314	8.867	[M+H]+1	Full match	No results			Full match	3	No results	2.83E+06
297	Drotaverine	C24 H31 N O4	397.22556	396.21828	3.76	[M-H]-1	Full match	No results			Full match	1	No results	4.45E+05
298	dopamine	C8 H11 N O2	153.07933	152.07205	4.515	[M-H]-1	Full match	No results			Full match	9	No results	4.33E+06
299	Dopamine	C9 H11 N O4	197.06908	196.06181	5.901	[M-H]-1	Full match	No results			Partial match	8	Full match	7.66E+06
300	Dodecenoic acid	C12 H22 O2	198.16205	197.15491	3.486	[M-H]-1	Full match	No results			Full match	34	No results	5.78E+06
301	Dodecamethylcyclohexasiloxane	C12 H36 O6 Si6	462.12324	463.13054	3.764	[M+H]+1	No match	Invalid mass	88.7	81.5	No results	0	No results	5.45E+05
302	DL-TYROSINE	C9 H11 N O3	181.07388	182.08121	4.61	[M+H]+1	Full match	No results			Full match	22	No results	1.05E+07
303	DL-TYROSINE	C9 H11 N O3	181.07424	180.06696	3.942	[M-H]-1	Full match	No results			Full match	22	No results	3.90E+06
304	DL-Tryptophan	C11 H12 N2 O2	187.06357	188.0708	11.313	[M+H]+1	No results	Invalid mass	96.8	78.6	No match	2	No results	4.85E+05
305	DL-Stachydrine	C7 H13 N O2	143.09473	144.10195	10.178	[M+H]+1	Full match	Full match	97.1	9.9	Full match	7	No results	1.61E+07
306	DL-Cycloserine	C3 H6 N2 O2	102.04296	144.0768	11.489	[M+ACN+H]+1	Full match	No results			Full match	5	No results	5.03E+05
307	DL-3-Aminoalanine	C3 H8 N2 O2	104.0586	105.06588	9.865	[M+H]+1	Full match	No results			Full match	2	No results	2.16E+07
308	Diroxamel fumarate	C11 H13 N O6	255.07441	256.08168	12.216	[M+H]+1	Full match	No results			Full match	3	No results	5.40E+06
309	dipyrocetyl	C11 H10 O6	238.04773	237.04045	10.541	[M-H]-1	Full match	No results			Full match	6	No results	1.34E+05
310	Dimetofrine	C11 H17 N O4	227.11586	228.12313	7.323	[M+H]+1	Full match	No results			Full match	1	No results	2.15E+07
311	DIMBOA	C9 H9 N O5	211.04848	210.0412	10.97	[M-H]-1	Full match	No results			Full match	11	No results	2.90E+06
312	dihydroxyphenylalanine	C9 H11 N O4	197.06902	196.06182	4.743	[M-H]-1	Full match	No results			Full match	8	No results	1.98E+07
313	dihydroxyphenylalanine	C9 H11 N O4	197.06911	196.06184	11.031	[M-H]-1	Full match	No results			Full match	8	No results	1.73E+06
314	dihydroxybenzylamine	C7 H9 N O2	139.06335	140.07063	9.02	[M+H]+1	Full match	No results			Full match	5	No results	3.21E+07
315	Dihydrokavain	C14 H16 O3	232.10997	233.11721	4.756	[M+H]+1	Full match	No results			Full match	7	No results	5.46E+06
316	Dihydrokavain	C14 H16 O3	232.10985	233.11705	3.62	[M+H]+1	Full match	No results			Full match	7	No results	4.33E+06
317	Diethyl iminodiacetate	C8 H15 N O4	207.11074	208.11789	6.04	[M+H]+1	No match	Invalid mass	75.9	47.7	No match	4	No results	3.50E+06
318	Diethanolamine	C4 H11 N O2	105.07902	106.0863	19.152	[M+H]+1	Full match	No results			Full match	2	No results	5.32E+07
319	DIBUTYRIN	C11 H20 O5	232.1311	231.12382	3.71	[M-H]-1	Full match	No results			Full match	2	No results	4.71E+07
320	DIBOA	C8 H7 N O4	181.03784	180.03057	4.513	[M-H]-1	Full match	No results			Full match	3	No results	5.26E+06
321	DIBEHENIN	C12 H14 O3	206.09448	207.10173	4.761	[M+H]+1	Full match	No results			Full match	18	No results	1.00E+07
322	Demethoxyencecalin	C13 H14 O2	202.09948	203.10675	3.465	[M+H]+1	Full match	No results			Full match	5	No results	5.51E+06
323	Deferiprone	C7 H9 N O2	139.06352	138.05641	7.465	[M-H]-1	Full match	No results			Full match	5	No results	2.66E+07
324	Deferiprone	C7 H9 N O2	139.06356	138.05638	4.749	[M-H]-1	Full match	No results			Full match	5	No results	6.97E+06
325	Deferiprone	C7 H9 N O2	139.06368	138.0564	8.783	[M-H]-1	Full match	No results			Full match	5	No results	5.92E+06
326	Decanoylcarnitine	C17 H33 N O4	315.24087	316.24814	10.152	[M+H]+1	Full match	Full match	73.7	46.4	Full match	2	No results	5.14E+05
327	D-PANTOTHENIC ACID	C9 H17 N O5	219.11071	220.11798	10.494	[M+H]+1	Full match	No results			Full match	2	No results	1.75E+07
328	D-Mannose 6-phosphate	C6 H13 O9 P	260.02956	259.02223	13.758	[M-H]-1	Full match	Full match	87.2	67	Not the top hit	58	Full match	1.52E+05
329	D-(-)-Quinic acid	C7 H12 O6	192.06366	191.05639	10.86	[M-H]-1	Full match	Full match	95.7	9.8	Full match	10	No results	4.72E+07
330	D-(+)-Pyroglutamic Acid	C5 H7 N O3	129.04265	130.04992	12.333	[M+H]+1	Full match	No results			Full match	12	No results	4.20E+07
331	D-(+)-Malic acid	C4 H6 O5	134.02182	133.01455	13.61	[M-H]-1	Full match	Full match	87.9	50.8	Full match	6	No results	3.23E+07
332	Cytosine	C4 H5 N3 O	111.04328	112.05055	10.59	[M+H]+1	Full match	Full match	59.7	8	Partial match	3	Full match	5.85E+06
333	Cyclopentadecanolide	C15 H28 O2	240.20905	239.20177	3.463	[M-H]-1	Full match	No results			Full match	11	No results	3.30E+07
334	Creatinine	C4 H7 N3 O	113.05894	114.06621	10.181	[M+H]+1	Full match	No results			Full match	2	Full match	4.73E+06
335	Coumarone	C8 H6 O	118.04216	117.03488	7.442	[M-H]-1	Full match	No results			Full match	4	No results	5.22E+05
336	CONDELPHINE	C25 H39 N O6	449.27784	450.28506	3.463	[M+H]+1	No results	No results			Full match	2	No results	3.65E+06
337	Citrate	C6 H8 O7	192.0272	173.00938	14.709	[M-H-H2O]-1	Full match	No results			Full match	18	Full match	1.78E+07
338	Cilazapril	C22 H31 N3 O5	417.22595	418.23323	3.459	[M+H]+1	Full match	No results			Full match	1	No results	6.75E+06
339	CHLORIC ACID	H Cl O3	83.96139	82.95411	7.371	[M-H]-1	No results	No results			Full match	1	No results	4.78E+08
340	Cerotic acid	C26 H52 O2	396.39689	395.38961	3.354	[M-H]-1	Full match	No results			Full match	2	No results	1.00E+07
341	Carnosic acid	C20 H28 O4	332.19842	333.20548	3.528	[M+H]+1	Full match	No results			Full match	30	No results	1.89E+07
342	Carlinoside	C26 H28 O15	580.14287	579.13614	9.082	[M-H]-1	Full match	No results			Full match	5	No results	1.92E+05
343	Capsi-amide	C17 H35 N O	269.27224	270.27916	4.919	[M+H]+1	Full match	No results			Full match	1	No results	9.28E+06
344	Capryloylglycine	C10 H19 N O3	201.13655	202.14383	11.591	[M+H]+1	Full match	Full match	56.1	41.9	Full match	5	No results	1.72E+09
345	Capryloylglycine	C10 H19 N O3	201.1366	202.14388	12.314	[M+H]+1	Full match	No results			Full match	5	No results	1.14E+07
346	Capryloylglycine	C10 H19 N O3	201.13655	260.1503	7.49	[M-H+HAc]-1	Full match	No results			Full match	5	No results	5.23E+06
347	Cantharidin	C10 H12 O4	196.07374	195.06639	4.758	[M-H]-1	No results	No results			Full match	32	No results	2.13E+06
348	Cammaconine	C23 H37 N O5	407.26664	408.27391	3.543	[M+H]+1	No results	No results			Full match	2	No results	4.21E+06
349	Callistephin	C21 H21 O10	433.11461	434.12177	10.013	[M+H]+1	No results	No results			Full match	1	No results	2.18E+05
350	Caffeoylmalic acid	C13 H12 O8	296.05333	295.04605	14.22	[M-H]-1	Full match	No results			Full match	5	No results	2.94E+05
351	C8-HSL	C12 H21 N O3	227.15219	228.15942	11.758	[M+H]+1	Full match	No results			Full match	2	No results	4.82E+06
352	C8-HSL	C12 H21 N O3	227.15217	228.15944	11.037	[M+H]+1	Full match	No results			Full match	2	No results	1.38E+07
353	C8-HSL	C12 H21 N O3	227.15207	228.15934	10.758	[M+H]+1	Full match	No results			Full match	2	No results	9.12E+06
354	C8-Carnitine	C15 H29 N O4	287.20969	288.21697	11.095	[M+H]+1	Full match	No results			Full match	2	No results	3.29E+06
355	Butenylcarnitine	C11 H19 N O4	229.1315	230.13878	11.199	[M+H]+1	Full match	No results			Full match	1	No results	7.58E+07
356	but-1-ene-1,2,4-tricarboxylic acid	C7 H8 O6	188.03234	187.02507	12.081	[M-H]-1	Full match	No results			Full match	8	No results	6.18E+06
357	Buchananine	C12 H15 N O7	285.08493	286.0922	13.117	[M+H]+1	Full match	No results			Full match	3	No results	1.26E+06
358	Bis(methylbenzylidene)sorbitol	C22 H26 O6	386.17251	387.17978	4.03	[M+H]+1	Not the top hit	Full match	98.3	9.9	Partial match	6	No results	1.03E+06
359	Bicine	C6 H13 N O4	163.08449	164.09177	11.021	[M+H]+1	Full match	Full match	98.8	98.4	Full match	11	No results	3.46E+07
360	Bicine	C6 H13 N O4	181.09503	182.10235	10.903	[M+H]+1	No match	Invalid mass	98.8	98.4	No results	0	No results	1.28E+07
361	beta-D-Ethyl glucuronide	C8 H14 O7	222.07402	221.06674	12.053	[M-H]-1	Full match	No results			Full match	4	No results	1.80E+07
362	Benzoic acid	C7 H6 O2	122.03677	123.04405	3.464	[M+H]+1	Full match	No results			Full match	7	No results	3.39E+06
363	b-Angelica lactone	C5 H6 O2	98.03682	97.0297	4.163	[M-H]-1	Full match	No results			Full match	4	No results	2.77E+06
364	Azelaic acid	C9 H16 O4	188.10514	187.09786	4.328	[M-H]-1	Full match	No results			Full match	11	No results	6.90E+06
365	Atagabalin	C10 H19 N O2	185.14157	186.14882	3.967	[M+H]+1	Full match	No results			Full match	1	No results	2.61E+07
366	Aspartic acid, N-salicyloyl-	C11 H11 N O6	253.05857	252.05129	12.437	[M-H]-1	Full match	No results			Full match	2	No results	3.37E+06
367	Asp-Glu	C9 H14 N2 O7	262.08018	261.07261	12.38	[M-H]-1	Full match	No results			Full match	5	No results	2.29E+07
368	asp-gln	C9 H15 N3 O6	261.09629	262.10356	12.728	[M+H]+1	Full match	No results			Full match	6	No results	8.92E+06
369	Artemotil	C17 H28 O5	312.19361	311.18646	3.479	[M-H]-1	Full match	No results			Not the top hit	3	No results	1.86E+07
370	Artemether	C16 H26 O5	298.17741	335.12533	7.473	[M-2H+K]-1	Full match	No results			Full match	1	No results	1.90E+07
371	Arbusculin A	C15 H22 O3	250.1569	251.16417	4.331	[M+H]+1	Full match	No results			Full match	39	No results	6.42E+07
372	Arachidic acid	C20 H40 O2	312.3029	311.29562	3.391	[M-H]-1	Full match	No results			Full match	9	No results	4.78E+07
373	Arachidic acid	C20 H40 O2	312.30291	311.29563	3.85	[M-H]-1	Full match	No results			Full match	9	No results	5.87E+06
374	Arachidic Acid	C20 H40 O2	312.30287	311.29559	4.392	[M-H]-1	Full match	Full match	54.8	7.7	Full match	9	No results	3.82E+06
375	Arabic acid	C5 H10 O6	166.04797	165.04069	11.816	[M-H]-1	Full match	No results			Full match	9	No results	9.01E+07
376	Arabic acid	C5 H10 O6	166.04796	165.04069	10.552	[M-H]-1	Full match	No results			Full match	9	No results	4.47E+06
377	APM	C7 H13 N O4	175.08447	176.09175	7.639	[M+H]+1	Full match	No results			Full match	7	No results	1.03E+07
378	anticapsin	C9 H13 N O4	199.08454	200.09181	5.952	[M+H]+1	Full match	No results			Full match	2	No results	1.93E+07
379	anticapsin	C9 H13 N O4	199.08454	200.09166	4.756	[M+H]+1	No results	No results			Full match	2	No results	2.77E+07
380	anticapsin	C9 H13 N O4	199.08454	182.08125	6.788	[M+H-H2O]+1	Full match	No results			Full match	2	No results	8.92E+06
381	Aniracetam	C12 H13 N O3	219.08961	220.09684	7.8	[M+H]+1	Full match	No results			Full match	6	No results	2.64E+05
382	Amrinone	C10 H9 N3 O	187.07473	188.082	7.594	[M+H]+1	No results	No results			Full match	1	No results	1.71E+06
383	Aminolevulinic acid	C5 H9 N O3	131.05825	114.05496	4.775	[M+H-H2O]+1	Full match	No results			Full match	21	No results	2.10E+07
384	Aminolevulinic acid	C5 H9 N O3	131.05853	130.05125	13.505	[M-H]-1	Full match	No results			Full match	21	No results	1.37E+07
385	Aminolevulinic acid	C5 H9 N O3	131.05854	130.05126	13.24	[M-H]-1	Full match	No results			Full match	21	No results	1.25E+07
386	AM9627000	C8 H7 N O3	165.0429	164.03562	4.265	[M-H]-1	Full match	No results			Full match	10	No results	9.03E+06
387	Adenosine	C10 H13 N5 O4	267.09674	268.10401	8.962	[M+H]+1	Full match	No results			Not the top hit	7	Full match	3.77E+06
388	Adenine	C5 H5 N5	135.05455	136.06182	9.349	[M+H]+1	Full match	No results			Full match	2	No results	4.55E+07
389	ACETYL PROLINE	C7 H11 N O3	157.07396	158.08122	6.517	[M+H]+1	Full match	No results			Full match	6	No results	1.70E+07
390	ACETYL PROLINE	C7 H11 N O3	157.07398	158.08122	6.776	[M+H]+1	Full match	No results			Full match	6	No results	1.30E+07
391	Aceturic acid	C4 H7 N O3	117.04287	116.03559	13.082	[M-H]-1	Full match	No results			Full match	6	No results	2.04E+07
392	Aceglutamide	C7 H12 N2 O4	188.07984	189.08704	5.952	[M+H]+1	Full match	No results			Full match	5	No results	1.07E+07
393	Ac-Ala-OH	C5 H9 N O3	131.0583	149.09214	8.939	[M+NH4]+1	Full match	Invalid mass			Full match	21	No results	6.34E+05
394	[Similar to: NP-006274; ΔMass: 22.0271 Da]	C21 H13 P	296.07486	297.0823	3.774	[M+H]+1	Full match	Invalid mass			No results	0	No results	6.39E+05
